TripID,MonitorID,PurposeCode,PurposeJP,PurposeENG,DepartureTime,ArrivalTime,TripDurationSec,ODDistanceM,LatitudeO,LongitudeO,DistrictCodeO,DistrictNameO,Zone4codeO,Zone4nameO,Zone5codeO,Zone5nameO,LatitudeD,LongitudeD,DistrictCodeD,DistrictNameD,Zone4codeD,Zone4nameD,Zone5codeD,Zone5nameD,Age,Gender,Male,HomeLocation,MainModeCode,MainModeJP,MainModeENG,ChoiceTime,ModeAvailableCar,DistanceCar,TimeCar,ModeAvailableTrain,TimeTrain,FareTrain,DepartureStation,ArrivalStation,NumberChanges,AccessDistanceTrain,AccessTimeTrain,EgressDistanceTrain,EgressTimeTrain,TotalTimeTrain,ModeAvailableBike,DistanceBike,TimeBike,ModeAvailableWalk,DistanceWalk,TimeWalk,ModeAvailableBus,DistanceBus,TimeBus,FareBus,AcessDistanceBus,AccessTimeBus,EgressDistanceBus,EgressTimeBus,TotalTimeBus
255461,yd021,800,散歩･回遊,Leisure Walk,2009/10/31 06:19:00,2009/10/31 07:50:01,5461,19341.2130825596,35.34553889,139.4864667,205,藤沢市,2050201,本町,205020101,本町一丁目,35.51434644,139.5380777,113,緑区,1008112,中山,100811203,台村町Ａ,46,男,1,神奈川県茅ヶ崎市,410,自転車,Bicycle,108,1,26051,46.2,0,50,570,藤沢本町,中山,3,0,0,0,0,0,1,21607,108,1,21607,270.4,0,0,0,0,0,0,0,0,0
256674,yd027,500,買い物,Shopping,2009/11/13 19:08:13,2009/11/13 20:13:43,3930,20793.1352085323,35.44360584,139.6377486,104,中区,1003002,関内,100300215,真砂町,35.62782533,139.6774185,,,,,,,38,男,1,東京都世田谷区,200,鉄道,Rail,55.3,1,25494,45.6,1,40,440,関内,学芸大学,1,450,5.4,817,9.9,55.3,1,23586,117.9,1,23586,293.1,0,0,0,0,0,0,0,0,0
255291,yd025,400,業務,Work,2009/10/29 07:36:03,2009/10/29 08:21:20,2717,10421.3243103241,35.36673911,139.5715249,115,栄区,1009248,上郷,100924801,上郷町Ａ,35.44399738,139.636649,104,中区,1003002,関内,100300216,港町,39,女,0,神奈川県横浜市栄区,200,鉄道,Rail,38.6,1,13775,35.7,1,18,210,港南台,関内,0,1320,16.8,311,3.8,38.6,1,11604,58,1,11604,143.4,0,0,0,0,0,0,0,0,0
256382,yd021,100,出勤,Commute,2009/11/10 06:55:33,2009/11/10 07:58:02,3749,24456.9959652718,35.32550818,139.4091064,207,茅ヶ崎市,2070202,東海岸北,207020202,東海岸北二丁目,35.44405647,139.6363968,104,中区,1003002,関内,100300216,港町,46,男,1,神奈川県茅ヶ崎市,200,鉄道,Rail,49.8,1,30728,55,1,37,570,茅ヶ崎,関内,1,717,9,313,3.8,49.8,1,27661,138.3,1,27661,342.3,0,0,0,0,0,0,0,0,0
257459,yd028,700,娯楽,Leisure,2009/11/21 10:40:54,2009/11/21 12:31:44,6650,42660.9018071932,35.46425887,139.5308948,112,旭区,1005118,二俣川,100511802,二俣川一丁目,35.24525644,139.1445655,206,小田原市,2060401,板橋,206040103,大窪支所,37,男,1,神奈川県横浜市旭区,200,鉄道,Rail,76.2,1,54540,77.7,1,72,3660,二俣川,箱根板橋,4,258,3.1,87,1.1,76.2,1,48214,241.1,1,48214,595.9,0,0,0,0,0,0,0,0,0
257040,yd025,600,食事,Meal,2009/11/17 12:09:25,2009/11/17 12:52:15,2570,740.738267868173,35.44343955,139.6370459,104,中区,1003002,関内,100300216,港町,35.44965693,139.6341062,104,中区,1003002,関内,100300221,本町六丁目,39,女,0,神奈川県横浜市栄区,200,鉄道,Rail,11.2,1,1555,5,1,2,200,関内,桜木町,0,382,4.6,394,4.6,11.2,1,899,4.5,1,899,10.8,1,0.65,3,210,83,1.2,225,3.4,7.6
256978,yd018,200,帰宅,Return Home,2009/11/16 20:41:50,2009/11/16 21:43:21,3691,29264.9557660941,35.42392917,139.3185497,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.48729897,139.6321964,102,神奈川区,1001015,白幡,100101503,白幡上町,54,男,1,神奈川県横浜市神奈川区,100,自動車,Car,77.2,1,38923,77.2,1,61,680,愛甲石田,白楽,2,3065,37.3,668,8.8,107.1,1,33859,169.3,1,33859,424.6,0,0,0,0,0,0,0,0,0
256452,yd027,999,その他,Other,2009/11/10 19:38:24,2009/11/10 19:46:20,476,898.805813790509,35.63106543,139.6799452,,,,,,,35.62318511,139.682166,,,,,,,38,男,1,東京都世田谷区,410,自転車,Bicycle,5.6,1,1864,8.7,0,0,0,0,0,0,0,0,0,0,0,1,1126,5.6,1,1126,13.9,0,0,0,0,0,0,0,0,0
256965,yd024,200,帰宅,Return Home,2009/11/16 18:47:37,2009/11/16 19:45:39,3482,19802.6031741354,35.44456602,139.6367669,104,中区,1003002,関内,100300215,真砂町,35.61629714,139.5786864,135,多摩区,1300502,宿河原,130050207,宿河原４丁目Ａ,40,男,1,神奈川県川崎市多摩区,200,鉄道,Rail,68.5,1,28208,55.4,1,45,550,馬車道,登戸,1,855,10.2,1091,13.3,68.5,1,23435,117.2,1,23435,290.2,0,0,0,0,0,0,0,0,0
256459,yd012,200,帰宅,Return Home,2009/11/10 22:01:07,2009/11/10 23:03:18,3731,27332.6810429055,35.42249679,139.316597,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.45973662,139.6148748,103,西区,1002008,岡野,100200801,西平沼町,46,男,1,神奈川県横浜市西区,100,自動車,Car,73.3,1,37380,73.3,1,57,450,愛甲石田,平沼橋,2,3471,42.1,172,2.1,101.2,1,32014,160.1,1,32014,399.9,0,0,0,0,0,0,0,0,0
